C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,increasing_id
37501,Customer#000037501,Ftb6T5ImHuJ,2,12-397-688-6719,-324.85,HOUSEHOLD,"pending ideas use carefully. express, ironic platelets use among the furiously regular instructions.",37500
37502,Customer#000037502,"ppCVXCFV,4JJ97IibbcMB5,aPByjYL07vmOLO 3m",18,28-515-931-4624,5179.20,BUILDING,"express deposits. pending, regular deposits wake furiously bold deposits. regular",37501
37503,Customer#000037503,Cg60cN3LGIUpLpXn0vRffQl8,13,23-977-571-7365,1862.32,BUILDING,ular deposits. furiously ironic deposits integrate carefully among the iron,37502
37504,Customer#000037504,E1 IiMlCfW7I4 1b9wfDZR,21,31-460-590-3623,2955.33,HOUSEHOLD,s believe slyly final foxes. furiously e,37503
37505,Customer#000037505,"Ad,XVdA6XAa0h aukZHUo5Mxh,ZRwVR3k7b7",3,13-521-760-7263,3243.15,FURNITURE,ites according to the quickly bold instru,37504
37506,Customer#000037506,"VXoZFeTxaBfHK6nX,5mHgYo1uKGU",20,30-455-339-5893,579.59,BUILDING,riously ironic orbits across the stealthy courts,37505
37507,Customer#000037507,HMtoNAVwORpP,16,26-874-984-1267,4100.82,HOUSEHOLD,des. special packages are carefully throughout the final deposits. furiously ruthless sentim,37506
37508,Customer#000037508,XQHSPK88xfcbHv4XZE9uPQbLUTtwQ,3,13-288-937-8547,5510.73,HOUSEHOLD,ously pending accounts are above the,37507
37509,Customer#000037509,yxxbGIUEgvhlKGeUVQq009T593,19,29-413-531-2736,7913.46,BUILDING,its until the foxes play special orbits? even deposits boost blithel,37508
37510,Customer#000037510,U8zXqrxLKik,20,30-321-278-8753,9658.04,BUILDING,ccounts doze slyly stealthy requests. blithely pending fo,37509
37511,Customer#000037511,Awl4i1OqHLVD8MwinIj7n0UI8CBblbqs4qCpY,17,27-148-889-7643,4765.04,BUILDING,"gular, regular requests. dependencies are. ironic pinto",37510
